RGR,FieldTag,Specimen,Date,Island,Locale,Habitat,lat,long,Sex,Mass,notes,lamellae hind internal,lamellae hind external,lamellae front internal,lamellae front external,lamellae counter,lamellae hind internal replicate,lamellae front internal replicate,lamellae counter replicate,ventral scale count,dorsal scale count,SVL,Finger,Toe,Jaw,Head,Radius,Femur,Tibia,Meta,SVL_1,SVL_2,SVL_3,R_finger,L_finger,R_toe,L_toe,r_jaw,l_jaw,head,r_radius,l_radius,r_femur,r_tibia,r_meta,l_femur,l_tibia,l_meta
RGR0322,2938529,Y,20150615,Abaco,Little Harbour,coppice,26.317050,-77.003854,F,1.6,dead,28,,15,,Reem/RGR,,,,,,42.144,5.628,8.275,11.402,11.02,5.714,8.74,7.529,5.641,42.074,42.058,42.3,5.212,5.628,8.266,8.275,11.402,10.447,11.02,5.272,5.714,8.74,7.486,5.417,8.708,7.529,5.641
RGR0323,2938528,Y,20150615,Abaco,Little Harbour,coppice,26.317050,-77.003854,M,3.3,,32,,18,,Reem/RGR,,,,,,54.12533333,7.209,10.724,14.32,13.597,7.317,12.488,10.592,7.23,54.262,54.129,53.985,7.209,6.623,10.528,10.724,14.293,14.32,13.597,7.317,6.408,12.488,10.592,7.049,12.207,10.129,7.23
RGR0324,2938527,Y,20150615,Abaco,Little Harbour,coppice,26.317050,-77.003854,F,1.4,dead,29,,18,,Reem/RGR,,,,,,39.68133333,6.558,8.802,11.645,12.089,6.079,9.295,8.234,5.799,39.718,39.712,39.614,,6.558,,8.802,11.645,11.465,12.089,5.528,6.079,9.288,7.8,5.799,9.295,8.234,5.543
RGR0325,2938526,Y,20150615,Abaco,Little Harbour,coppice,26.317050,-77.003854,M,1.8,,30,,18,,Reem/RGR,,,,,,42.693,6.492,9.693,11.564,11.768,6.425,10.695,9.632,6.819,42.676,42.749,42.654,6.414,6.492,8.948,9.693,11.564,10.874,11.768,6.425,6.264,10.695,9.632,6.819,10.209,8.812,6.501
RGR0326,2938525,Y,20150615,Abaco,Little Harbour,coppice,26.317050,-77.003854,F,1.6,,28,,17,,Reem/RGR,,,,,,39.42066667,5.623,8.301,11.217,11.416,5.375,8.875,8.325,5.634,39.36,39.377,39.525,5.623,5.457,8.301,7.735,11.217,10.067,11.416,5.375,5.024,8.871,8.325,5.634,8.875,7.294,5.547
RGR0327,2938524,Y,20150615,Abaco,Little Harbour,coppice,26.317050,-77.003854,F,0.9,,27,,NA,,Reem/RGR,,,,,,36.31533333,4.628,7.741,10.46,10.269,5.295,8.677,8.046,5.256,36.17,36.483,36.293,4.357,4.628,7.07,7.741,10.46,10.135,10.269,,5.295,8.677,8.046,5.128,8.155,7.854,5.256
RGR0328,2938523,Y,20150615,Abaco,Little Harbour,coppice,26.317050,-77.003854,M,2.3,,29,,17,,Reem/RGR,,,,,,46.30533333,6.835,9.882,12.249,13.281,6.514,10.995,9.735,6.723,46.41,46.324,46.182,6.753,6.835,9.348,9.882,12.249,11.633,13.281,6.514,6.469,10.684,9.735,6.723,10.995,9.369,6.682
RGR0329,2938522,Y,20150615,Abaco,Little Harbour,coppice,26.317050,-77.003854,M,3.3,,29,,19,,Reem/RGR,,,,,,50.576,7.242,8.998,14.64,13.841,7.548,11.594,10.22,7.354,50.282,50.983,50.463,3.886,7.242,8.998,8.542,14.208,14.64,13.841,7.505,7.548,11.115,10.22,6.981,11.594,10.001,7.354
RGR0330,2938521,Y,20150615,Abaco,Little Harbour,coppice,26.317050,-77.003854,M,3.4,,30,,19,,Reem/RGR,,,,,,51.48533333,7.392,10.266,14.067,14.193,7.834,12.098,10.749,7.08,51.494,51.576,51.386,6.188,7.392,8.688,10.266,13.73,14.067,14.193,5.14,7.834,11.626,10.749,7.08,12.098,9.999,6.495
RGR0331,2938520,Y,20150615,Abaco,Little Harbour,coppice,26.317050,-77.003854,F,1.3,,28,,16,,Reem/RGR,,,,,,37.293,4.983,7.45,10.363,10.824,5.222,8.439,7.572,5.482,37.381,37.356,37.142,4.878,4.983,7.45,6.419,10.363,9.687,10.824,2.857,5.222,8.211,7.368,5.235,8.439,7.572,5.482
