RGR,FieldTag,Specimen,Date,Island,Locale,Habitat,lat,long,Sex,Mass,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0368,2938483,Y,20150615,Abaco,Gilpin point,coastal,26.104472,-77.1784,M,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0369,2938482,Y,20150615,Abaco,Gilpin point,coastal,26.104472,-77.1784,M,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0370,2938481,Y,20150615,Abaco,Gilpin point,coastal,26.104472,-77.1784,M,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0371,2938480,Y,20150615,Abaco,Gilpin point,coastal,26.104472,-77.1784,M,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0372,2938479,Y,20150615,Abaco,Gilpin point,coastal,26.104472,-77.1784,M,3,dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0373,2938478,Y,20150615,Abaco,Gilpin point,coastal,26.104472,-77.1784,M,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0374,2938477,Y,20150615,Abaco,Gilpin point,coastal,26.104472,-77.1784,M,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0375,2938476,Y,20150616,Abaco,Angel Fish Pt,coppice,26.912775,-77.576286,M,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0376,2938475,Y,20150616,Abaco,Angel Fish Pt,coppice,26.912775,-77.576286,M,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0377,2938474,Y,20150616,Abaco,Angel Fish Pt,coppice,26.912775,-77.576286,M,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0378,2938473,Y,20150616,Abaco,Angel Fish Pt,coppice,26.912775,-77.576286,M,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0379,2938472,Y,20150616,Abaco,Angel Fish Pt,coppice,26.912775,-77.576286,M,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2938471,Y,20150616,Abaco,Angel Fish Pt,coppice,26.912775,-77.576286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0380,2938470,Y,20150616,Abaco,Little Abaco boat ramp,coastal,26.901974,-77.58002,F,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0381,2938469,Y,20150616,Abaco,Little Abaco boat ramp,coastal,26.901974,-77.58002,M,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0382,2938468,Y,20150616,Abaco,Little Abaco boat ramp,coastal,26.901974,-77.58002,M,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0383,2938467,Y,20150616,Abaco,Little Abaco boat ramp,coastal,26.901974,-77.58002,M,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0384,2938466,Y,20150616,Abaco,Little Abaco boat ramp,coastal,26.901974,-77.58002,M,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0385,2938465,Y,20150616,Abaco,Little Abaco boat ramp,coastal,26.901974,-77.58002,M,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0386,2938464,Y,20150616,Abaco,Little Abaco boat ramp,coastal,26.901974,-77.58002,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0387,2938463,Y,,Abaco,Little Abaco boat ramp,mangrove,26.908272,-77.725588,M,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0388,2938462,Y,,Abaco,Little Abaco boat ramp,mangrove,26.908272,-77.725588,F,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0389,2938461,Y,,Abaco,Little Abaco boat ramp,mangrove,26.908272,-77.725588,M,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0390,2938460,Y,,Abaco,Little Abaco boat ramp,mangrove,26.908272,-77.725588,M,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0391,2938459,Y,,Abaco,Little Abaco boat ramp,mangrove,26.908272,-77.725588,M,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0392,2938458,Y,,Abaco,Angel Fish Pt,coppice,26.912775,-77.576286,M,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0393,2938457,Y,20150619,Abaco,Little Harbour,mangrove,26.325377,-77.005543,M,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0394,2938456,Y,20150619,Abaco,Little Harbour,mangrove,26.325377,-77.005543,F,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0395,2938455,Y,20150619,Abaco,Little Harbour,mangrove,26.325377,-77.005543,M,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0396,2938454,Y,20150619,Abaco,Little Harbour,mangrove,26.325377,-77.005543,M,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0397,2938453,Y,20150619,Abaco,Little Harbour,mangrove,26.325377,-77.005543,F,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0398,2938452,Y,20150619,Abaco,Little Harbour,mangrove,26.325377,-77.005543,M,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0399,2938451,Y,20150619,Abaco,Little Harbour,mangrove,26.325377,-77.005543,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0400,2938450,Y,20150619,Abaco,Little Harbour,mangrove,26.325377,-77.005543,M,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0401,2938449,Y,20150619,Abaco,Little Harbour,mangrove,26.325377,-77.005543,M,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0402,2938448,Y,20150619,Abaco,Little Harbour,mangrove,26.325377,-77.005543,M,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGR0403,2938447,Y,20150619,Abaco,Little Harbour,mangrove,26.325377,-77.005543,F,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
